"id","gen","sp","ssp","en","lat","lng","file","q","rec_length","species"
"360620","Pitangus","sulphuratus","","Great Kiskadee",26.2159,-97.3406,"//www.xeno-canto.org/360620/download","A",6,"Pitangus sulphuratus"
"360609","Pitangus","sulphuratus","","Great Kiskadee",26.5151,-99.1156,"//www.xeno-canto.org/360609/download","A",83,"Pitangus sulphuratus"
"285330","Pitangus","sulphuratus","texanus","Great Kiskadee",26.0737,-98.1442,"//www.xeno-canto.org/285330/download","A",7,"Pitangus sulphuratus"
"285329","Pitangus","sulphuratus","texanus","Great Kiskadee",26.1762,-98.3862,"//www.xeno-canto.org/285329/download","A",27,"Pitangus sulphuratus"
"240235","Pitangus","sulphuratus","texanus","Great Kiskadee",29.699,-93.948,"//www.xeno-canto.org/240235/download","A",26,"Pitangus sulphuratus"
"147341","Pitangus","sulphuratus","texanus","Great Kiskadee",26.0737,-98.1442,"//www.xeno-canto.org/147341/download","A",91,"Pitangus sulphuratus"
"147339","Pitangus","sulphuratus","texanus","Great Kiskadee",26.5151,-99.1156,"//www.xeno-canto.org/147339/download","A",106,"Pitangus sulphuratus"
"21963","Pitangus","sulphuratus","","Great Kiskadee",28.1137,-97.4228,"//www.xeno-canto.org/21963/download","A",10,"Pitangus sulphuratus"
"7731","Pitangus","sulphuratus","","Great Kiskadee",26.0737,-98.1442,"//www.xeno-canto.org/7731/download","A",22,"Pitangus sulphuratus"
"453244","Tyrannus","couchii","","Couch's Kingbird",26.0737,-98.1442,"//www.xeno-canto.org/453244/download","A",115,"Tyrannus couchii"
"404720","Tyrannus","couchii","","Couch's Kingbird",29.3056,-100.4212,"//www.xeno-canto.org/404720/download","A",33,"Tyrannus couchii"
"320665","Tyrannus","couchii","","Couch's Kingbird",26.1762,-98.3862,"//www.xeno-canto.org/320665/download","A",78,"Tyrannus couchii"
"318524","Tyrannus","couchii","","Couch's Kingbird",26.1762,-98.3862,"//www.xeno-canto.org/318524/download","A",115,"Tyrannus couchii"
"147321","Tyrannus","couchii","","Couch's Kingbird",27.0446,-99.4449,"//www.xeno-canto.org/147321/download","A",35,"Tyrannus couchii"
"147319","Tyrannus","couchii","","Couch's Kingbird",26.5151,-99.1156,"//www.xeno-canto.org/147319/download","A",9,"Tyrannus couchii"
"133303","Tyrannus","couchii","","Couch's Kingbird",29.1823,-102.9595,"//www.xeno-canto.org/133303/download","A",65,"Tyrannus couchii"
"323788","Tyrannus","forficatus","","Scissor-tailed Flycatcher",32.492,-93.6955,"//www.xeno-canto.org/323788/download","A",76,"Tyrannus forficatus"
"323784","Tyrannus","forficatus","","Scissor-tailed Flycatcher",32.492,-93.6955,"//www.xeno-canto.org/323784/download","A",112,"Tyrannus forficatus"
"323754","Tyrannus","forficatus","","Scissor-tailed Flycatcher",32.492,-93.6955,"//www.xeno-canto.org/323754/download","A",111,"Tyrannus forficatus"
"161582","Tyrannus","forficatus","","Scissor-tailed Flycatcher",29.375,-99.9828,"//www.xeno-canto.org/161582/download","A",9,"Tyrannus forficatus"
"147498","Tyrannus","forficatus","","Scissor-tailed Flycatcher",26.5647,-99.1269,"//www.xeno-canto.org/147498/download","A",60,"Tyrannus forficatus"
"140971","Tyrannus","forficatus","","Scissor-tailed Flycatcher",30.0091,-99.6917,"//www.xeno-canto.org/140971/download","A",57,"Tyrannus forficatus"
"140970","Tyrannus","forficatus","","Scissor-tailed Flycatcher",30.0091,-99.6917,"//www.xeno-canto.org/140970/download","A",14,"Tyrannus forficatus"
"140969","Tyrannus","forficatus","","Scissor-tailed Flycatcher",30.0091,-99.6917,"//www.xeno-canto.org/140969/download","A",15,"Tyrannus forficatus"
"140968","Tyrannus","forficatus","","Scissor-tailed Flycatcher",30.0091,-99.6917,"//www.xeno-canto.org/140968/download","A",33,"Tyrannus forficatus"
"140966","Tyrannus","forficatus","","Scissor-tailed Flycatcher",30.0091,-99.6917,"//www.xeno-canto.org/140966/download","A",64,"Tyrannus forficatus"
"140965","Tyrannus","forficatus","","Scissor-tailed Flycatcher",30.0091,-99.6917,"//www.xeno-canto.org/140965/download","A",14,"Tyrannus forficatus"
"460588","Myiarchus","cinerascens","","Ash-throated Flycatcher",29.8235,-99.5773,"//www.xeno-canto.org/460588/download","A",80,"Myiarchus cinerascens"
"404715","Myiarchus","cinerascens","","Ash-throated Flycatcher",29.2834,-100.3724,"//www.xeno-canto.org/404715/download","A",19,"Myiarchus cinerascens"
"257175","Myiarchus","cinerascens","","Ash-throated Flycatcher",30.8124,-103.9245,"//www.xeno-canto.org/257175/download","A",48,"Myiarchus cinerascens"
"172656","Myiarchus","cinerascens","","Ash-throated Flycatcher",37.1388,-103.0875,"//www.xeno-canto.org/172656/download","A",102,"Myiarchus cinerascens"
"141345","Myiarchus","cinerascens","cinerascens","Ash-throated Flycatcher",30.0801,-99.5027,"//www.xeno-canto.org/141345/download","A",45,"Myiarchus cinerascens"
"141344","Myiarchus","cinerascens","cinerascens","Ash-throated Flycatcher",30.0801,-99.5027,"//www.xeno-canto.org/141344/download","A",51,"Myiarchus cinerascens"
"122455","Myiarchus","cinerascens","","Ash-throated Flycatcher",29.8942,-98.6426,"//www.xeno-canto.org/122455/download","A",27,"Myiarchus cinerascens"
