"id","gen","sp","ssp","en","lat","lng","file","q","rec_length","species"
"92016","Branta","hutchinsii","minima","Cackling Goose",45.792,-122.753,"//www.xeno-canto.org/92016/download","A",58,"Branta hutchinsii"
"92015","Branta","hutchinsii","minima","Cackling Goose",45.792,-122.753,"//www.xeno-canto.org/92015/download","A",21,"Branta hutchinsii"
"92014","Anser","canagicus","","Emperor Goose",46.988,-124.157,"//www.xeno-canto.org/92014/download","A",9,"Anser canagicus"
"452083","Anser","rossii","","Ross's Goose",33.0881,-115.7097,"//www.xeno-canto.org/452083/download","A",18,"Anser rossii"
"433242","Anser","rossii","","Ross's Goose",33.0881,-115.7097,"//www.xeno-canto.org/433242/download","A",8,"Anser rossii"
"532048","Anser","caerulescens","","Snow Goose",40.9316,-102.6712,"//www.xeno-canto.org/532048/download","A",35,"Anser caerulescens"
"516406","Anser","caerulescens","","Snow Goose",33.1791,-115.6168,"//www.xeno-canto.org/516406/download","A",41,"Anser caerulescens"
"505402","Anser","caerulescens","","Snow Goose",40.9316,-102.6712,"//www.xeno-canto.org/505402/download","A",33,"Anser caerulescens"
"467752","Anser","caerulescens","","Snow Goose",46.8441,-119.4536,"//www.xeno-canto.org/467752/download","A",38,"Anser caerulescens"
"459194","Anser","caerulescens","","Snow Goose",33.0881,-115.7097,"//www.xeno-canto.org/459194/download","A",10,"Anser caerulescens"
"459192","Anser","caerulescens","","Snow Goose",33.0881,-115.7097,"//www.xeno-canto.org/459192/download","A",37,"Anser caerulescens"
"458918","Anser","caerulescens","","Snow Goose",33.0881,-115.7097,"//www.xeno-canto.org/458918/download","A",15,"Anser caerulescens"
"458916","Anser","caerulescens","","Snow Goose",33.0881,-115.7097,"//www.xeno-canto.org/458916/download","A",20,"Anser caerulescens"
"458915","Anser","caerulescens","","Snow Goose",33.0881,-115.7097,"//www.xeno-canto.org/458915/download","A",29,"Anser caerulescens"
"458914","Anser","caerulescens","","Snow Goose",33.0881,-115.7097,"//www.xeno-canto.org/458914/download","A",30,"Anser caerulescens"
"458783","Anser","caerulescens","","Snow Goose",33.0881,-115.7097,"//www.xeno-canto.org/458783/download","A",20,"Anser caerulescens"
"455506","Anser","caerulescens","","Snow Goose",29.951,-93.079,"//www.xeno-canto.org/455506/download","A",90,"Anser caerulescens"
"408863","Anser","caerulescens","","Snow Goose",33.8272,-106.8861,"//www.xeno-canto.org/408863/download","A",18,"Anser caerulescens"
"143622","Anser","caerulescens","","Snow Goose",33.0881,-115.7097,"//www.xeno-canto.org/143622/download","A",18,"Anser caerulescens"
"143621","Anser","caerulescens","","Snow Goose",33.0881,-115.7097,"//www.xeno-canto.org/143621/download","A",24,"Anser caerulescens"
"143620","Anser","caerulescens","","Snow Goose",33.0881,-115.7097,"//www.xeno-canto.org/143620/download","A",28,"Anser caerulescens"
"143618","Anser","caerulescens","","Snow Goose",33.0881,-115.7097,"//www.xeno-canto.org/143618/download","A",49,"Anser caerulescens"
"143617","Anser","caerulescens","","Snow Goose",33.0881,-115.7097,"//www.xeno-canto.org/143617/download","A",49,"Anser caerulescens"
"143615","Anser","caerulescens","","Snow Goose",33.0881,-115.7097,"//www.xeno-canto.org/143615/download","A",32,"Anser caerulescens"
"140021","Anser","caerulescens","","Snow Goose",39.2518,-75.4527,"//www.xeno-canto.org/140021/download","A",77,"Anser caerulescens"
"92035","Anser","caerulescens","caerulescens","Snow Goose",48.5778,-122.5528,"//www.xeno-canto.org/92035/download","A",58,"Anser caerulescens"
"450844","Anser","albifrons","","Greater White-fronted Goose",39.3212,-121.8164,"//www.xeno-canto.org/450844/download","A",24,"Anser albifrons"
"445707","Anser","albifrons","elgasi","Greater White-fronted Goose",39.1753,-122.0482,"//www.xeno-canto.org/445707/download","A",11,"Anser albifrons"
"48742","Cygnus","olor","","Mute Swan",41.928,-70.559,"//www.xeno-canto.org/48742/download","A",7,"Cygnus olor"
"523509","Cygnus","buccinator","","Trumpeter Swan",40.2194,-74.5248,"//www.xeno-canto.org/523509/download","A",48,"Cygnus buccinator"
"518768","Cygnus","buccinator","","Trumpeter Swan",48.7516,-119.6589,"//www.xeno-canto.org/518768/download","A",81,"Cygnus buccinator"
"496481","Cygnus","buccinator","","Trumpeter Swan",48.4147,-122.3652,"//www.xeno-canto.org/496481/download","A",20,"Cygnus buccinator"
"454910","Cygnus","buccinator","","Trumpeter Swan",48.5237,-122.0185,"//www.xeno-canto.org/454910/download","A",25,"Cygnus buccinator"
"413784","Cygnus","buccinator","","Trumpeter Swan",44.7303,-93.6472,"//www.xeno-canto.org/413784/download","A",120,"Cygnus buccinator"
"104391","Cygnus","buccinator","","Trumpeter Swan",48.6159,-95.1289,"//www.xeno-canto.org/104391/download","A",11,"Cygnus buccinator"
"104389","Cygnus","buccinator","","Trumpeter Swan",48.6159,-95.1289,"//www.xeno-canto.org/104389/download","A",32,"Cygnus buccinator"
"104388","Cygnus","buccinator","","Trumpeter Swan",48.6159,-95.1289,"//www.xeno-canto.org/104388/download","A",16,"Cygnus buccinator"
"104387","Cygnus","buccinator","","Trumpeter Swan",48.6159,-95.1289,"//www.xeno-canto.org/104387/download","A",69,"Cygnus buccinator"
"103414","Cygnus","buccinator","","Trumpeter Swan",45.832,-92.634,"//www.xeno-canto.org/103414/download","A",24,"Cygnus buccinator"
"103412","Cygnus","buccinator","","Trumpeter Swan",45.832,-92.634,"//www.xeno-canto.org/103412/download","A",36,"Cygnus buccinator"
